ProfDU,user_rating,movie_length,Director Value,Producer Power,Star Power,estmated_budget,opening_weekend,grossboxoffice
0,7.1,123,3,2,3,35000000,12694770,59699513
0,4.7,101,3,2,3,50000000,12709221,66002004
1,4.1,101,3,3,3,87000000,12712272,25607347
0,4.3,97,2,2,2,25000000,12812287,70992898
1,6.5,89,2,2,2,95000000,12846652,50802661
0,5.8,123,2,2,3,82000000,13020883,96085477
0,6.2,89,2,2,3,24000000,13180769,39687528
0,6.1,106,2,3,3,14000000,13218723,32645546
0,6.7,90,2,3,3,28000000,13309241,50255310
0,8,123,3,3,3,30000000,13464745,81001787
1,6.8,122,3,2,3,70000000,13471488,69766619
1,5.8,94,3,3,2,55000000,13482638,34238611
0,4.8,103,4,3,3,35000000,13510293,60400856
0,5.7,95,2,3,2,19000000,13528946,58156435
0,6.3,124,2,3,3,15500000,13834527,33682273
1,6.1,115,2,2,3,42000000,14005550,41543207
0,4.8,101,2,3,3,48000000,14010409,60020099
0,4.7,115,2,4,4,45000000,14043215,101393569
0,6.6,124,2,3,3,50000000,14065277,122000000
0,6.1,90,2,3,2,11000000,14118444,27445118
0,5.5,104,2,2,2,30000000,14169455,51599647
0,6.1,89,2,2,2,12000000,14211321,31691811
0,4.5,89,2,2,2,13000000,14331819,60008303
0,8.4,130,4,2,4,40000000,14801808,53082743
0,7.6,123,3,2,5,55000000,14851136,168167691
0,5.3,136,3,4,3,68000000,15027423,75715436
1,5.2,108,3,2,3,85000000,15058432,65900000
0,5.9,118,3,2,3,88000000,15092079,105316267
0,6,105,2,2,3,33000000,15206301,62022014
1,5.1,100,2,4,3,60000000,15488870,28031250
1,4.9,100,3,2,2,75000000,15837266,47000485
0,7.3,102,3,3,4,75000000,15952430,109155885
0,5.4,110,2,2,3,25000000,16026496,119498909
1,5.7,113,3,3,3,65000000,16061271,52397389
0,2.7,95,2,2,2,8000000,16123105,40066497
0,4.6,114,3,3,3,35000000,16207730,43650785
0,7,117,3,2,3,30000000,16300155,67325559
0,6.5,105,3,2,3,20000000,16662333,35596227
0,5.1,88,3,3,3,35000000,16894511,49474048
0,4.9,100,3,2,3,35000000,17012212,73023275
0,2.9,93,2,2,2,12000000,17014226,37188667
0,6.5,98,2,3,2,45000000,17128062,66790248
0,6.7,117,3,2,2,60000000,17214384,81124129
0,7.3,120,3,2,3,48000000,17215275,50315140
0,4.7,94,2,2,3,17000000,17338755,42672630
0,7,91,3,2,3,24000000,17453216,86941509
0,5,100,2,2,2,26000000,17501625,40168080
0,7.4,111,2,4,3,30000000,17725330,62877175
0,5.9,115,2,2,3,25000000,18014503,55973336
1,6.3,99,4,4,3,80000000,18145632,69772969
0,7.3,92,3,3,4,50000000,18203876,113244290
0,5.3,104,2,2,2,17000000,18365222,63102666
0,5.8,91,3,2,2,16000000,18508228,51685963
1,6.2,135,4,3,3,120000000,18561337,93945766
0,6.1,106,2,2,3,40000000,18736133,59068786
1,6.6,136,3,2,3,100000000,18829435,67286731
